=> using pre-trained model 'resnet34'
Epoch: [0][137/259]	Time 1.893 (1.942)	Data 0.001 (0.011)	Loss 0.1616 (0.1749)	
Epoch: [0][138/259]	Time 1.897 (1.941)	Data 0.001 (0.011)	Loss 0.1196 (0.1745)	
Epoch: [0][139/259]	Time 1.845 (1.941)	Data 0.001 (0.011)	Loss 0.1350 (0.1742)	
Epoch: [0][140/259]	Time 1.831 (1.940)	Data 0.001 (0.011)	Loss 0.1289 (0.1739)	
Epoch: [0][141/259]	Time 1.881 (1.940)	Data 0.001 (0.011)	Loss 0.1401 (0.1737)	
Epoch: [0][142/259]	Time 1.876 (1.939)	Data 0.000 (0.010)	Loss 0.1427 (0.1735)	
Epoch: [0][143/259]	Time 1.874 (1.939)	Data 0.001 (0.010)	Loss 0.1334 (0.1732)	
Epoch: [0][144/259]	Time 1.868 (1.938)	Data 0.001 (0.010)	Loss 0.1442 (0.1730)	
Epoch: [0][145/259]	Time 1.948 (1.938)	Data 0.001 (0.010)	Loss 0.1282 (0.1727)	
Epoch: [0][146/259]	Time 1.845 (1.938)	Data 0.001 (0.010)	Loss 0.1313 (0.1724)	
Epoch: [0][147/259]	Time 1.835 (1.937)	Data 0.001 (0.010)	Loss 0.1420 (0.1722)	
Epoch: [0][148/259]	Time 1.903 (1.937)	Data 0.001 (0.010)	Loss 0.1355 (0.1719)	
Epoch: [0][149/259]	Time 1.892 (1.936)	Data 0.001 (0.010)	Loss 0.1384 (0.1717)	
Epoch: [0][150/259]	Time 1.862 (1.936)	Data 0.001 (0.010)	Loss 0.1228 (0.1714)	
Epoch: [0][151/259]	Time 1.906 (1.936)	Data 0.001 (0.010)	Loss 0.1390 (0.1712)	
Epoch: [0][152/259]	Time 1.892 (1.935)	Data 0.001 (0.010)	Loss 0.1297 (0.1709)	
Epoch: [0][153/259]	Time 1.851 (1.935)	Data 0.001 (0.010)	Loss 0.1441 (0.1707)	
Epoch: [0][154/259]	Time 1.843 (1.934)	Data 0.001 (0.010)	Loss 0.1462 (0.1706)	
Epoch: [0][155/259]	Time 1.893 (1.934)	Data 0.001 (0.010)	Loss 0.1257 (0.1703)	
Epoch: [0][156/259]	Time 1.877 (1.934)	Data 0.001 (0.010)	Loss 0.1354 (0.1701)	
Epoch: [0][157/259]	Time 1.870 (1.933)	Data 0.001 (0.010)	Loss 0.1406 (0.1699)	
Epoch: [0][158/259]	Time 1.897 (1.933)	Data 0.001 (0.010)	Loss 0.1355 (0.1697)	
